,batter_name,pitcher_name,avg_ev,avg_la
735467,Tyrone Taylor,Marcus Stroman,88.40463545076389,16.654417683015808
743100,Brandon Drury,German Marquez,88.39708107256995,17.062261711175292
730714,C.J. Cron,Blake Snell,88.3881989719642,16.48226016427535
398256,Mitch Garver,Aaron Nola,88.38612978735833,15.66398695275836
606700,Josh VanMeter,Hunter Greene,88.33016454803708,12.81777672314251
726280,Kevin Plawecki,Aaron Nola,88.32963687787014,12.152196040729613
738223,Nolan Arenado,Alek Manoah,88.31649464123194,22.560258112247286
733358,Tyler Naquin,Sandy Alcantara,88.3122057461929,12.029211853305593
732979,Kyle Isbel,Pablo Lopez,88.31170838756614,14.469931837559322
735351,Josh Rojas,Julio Urias,88.30592894914773,11.650473758751843
742508,Cal Raleigh,Shane Bieber,88.30419604626773,24.205094272256627
742831,Oscar Gonzalez,Luis Castillo,88.29222263438926,5.973536540526161
731829,Jo Adell,Kyle Muller,88.28231319261691,16.025802858466417
730294,Cristian Pache,Shohei Ohtani,88.26404887427957,2.800303822364218
733484,Kody Clemens,Shane McClanahan,88.25713206539665,21.00461239081614
733486,Riley Greene,Shane McClanahan,88.23663442380979,3.052070930358265
723838,Cooper Hummel,Julio Urias,88.21802982834708,6.076778019331036
735224,Jon Berti,Max Scherzer,88.21155589446059,3.767849192356433
731972,Sean Murphy,Shohei Ohtani,88.11157837806952,12.884976451731658
734292,Christian Arroyo,Kyle Gibson,88.10004975842253,8.95186587545553
332538,Jason Heyward,Corbin Burnes,88.05213292519855,17.850960059888905
499544,Frank Schwindel,Corbin Burnes,88.03769776392126,10.517523576722676
698120,Ramon Urias,Corey Kluber,87.9856905840458,9.440554192603399
742964,Gavin Lux,Zac Gallen,87.95916881375335,6.391413669037988
741541,Austin Barnes,Zac Gallen,87.95848558993788,15.106989569116289
534486,Elvis Andrus,Shohei Ohtani,87.92575256823729,12.386846353224382
728453,Ben Gamel,Hunter Greene,87.9047602372639,10.66844267397717
731833,Luis Rengifo,Kyle Muller,87.89080256374737,8.867889150641881
564905,Jesus Aguilar,Max Scherzer,87.87649244295872,17.45167693950767
421285,Tyler Stephenson,Mitch Keller,87.86422966950225,11.909451823039563
735222,Lewin Diaz,Max Scherzer,87.84697113516675,15.558972790053762
599692,Andrew Benintendi,Logan Webb,87.84488419080145,12.049146252329272
732647,Nico Hoerner,Corbin Burnes,87.78729101529937,11.392848583536555
734266,Enrique Hernandez,Kyle Gibson,87.7810109843453,16.401473933099453
656588,Tyler O'Neill,Alek Manoah,87.74579334212685,9.10911245199095
742953,Justin Turner,Zac Gallen,87.70979779300757,17.52130467222412
742256,Alex Bregman,Dylan Cease,87.70819558923661,18.995357150511698
735490,Jace Peterson,Marcus Stroman,87.6735123829711,8.647691048280993
738477,Mark Canha,Sandy Alcantara,87.65410313542473,10.716259131301817
741852,Eddie Rosario,Patrick Corbin,87.61719245414822,16.435165588231936
694498,Alek Thomas,Julio Urias,87.60497305027137,1.5839318844320882
737560,Jackie Bradley Jr.,Miles Mikolas,87.57283592112385,8.546035993275375
742927,Chris Taylor,Zac Gallen,87.56424144657348,20.683433272279302
733493,Eric Haase,Shane McClanahan,87.55954378304217,18.651147148311402
559924,Mike Moustakas,Mitch Keller,87.48447344536767,20.006376368048976
742243,Christian Vazquez,Dylan Cease,87.48306093310791,11.961810326709335
731852,Matt Duffy,Kyle Muller,87.46505127986437,11.857942584170505
469916,Christian Vazquez,Kyle Gibson,87.44339742547183,13.979798213135837
738496,Brandon Nimmo,Sandy Alcantara,87.4430478084231,4.786404116887674
731794,Max Stassi,Kyle Muller,87.43759505191477,7.643061978436397
734238,Xander Bogaerts,Kyle Gibson,87.43732842104541,8.590557286362635
732686,Christopher Morel,Corbin Burnes,87.42710973345744,7.671086301340692
552794,Michael Perez,Sandy Alcantara,87.3582694977522,17.641496041594618
735628,Michael Toglia,Blake Snell,87.34374560188033,17.37620386886396
733452,Javier Baez,Shane McClanahan,87.33731917120055,9.94696955024826
741749,Josh Bell,German Marquez,87.31811067487997,9.297275883049538
469940,Jackie Bradley Jr.,Kyle Gibson,87.29960948255692,10.661056420147514
742013,Brandon Marsh,Jacob deGrom,87.2969411784159,12.953001179714537
472235,Eric Hosmer,German Marquez,87.27791315835972,0.12427819035942671
731712,Jesus Aguilar,Corey Kluber,87.25087671696853,15.448730579858884
731951,Stephen Vogt,Shohei Ohtani,87.21237432884834,20.961138406927553
732968,Michael Massey,Pablo Lopez,87.20365388169316,16.876902291214627
731557,Cavan Biggio,Miles Mikolas,87.2018695634911,19.73122632179514
732108,Andrew Knizner,Alek Manoah,87.18322598041279,13.01927989208289
733651,Abraham Toro,Shane Bieber,87.18019549476084,18.18810837457591
688099,Michael Chavis,Hunter Greene,87.15248727497118,8.91398089089542
670229,Nick Senzel,Mitch Keller,87.1300811631015,11.754358860178664
732486,Marcus Semien,Aaron Nola,87.11886877404734,22.318623521778335
731922,Chad Pinder,Shohei Ohtani,87.09393182542692,11.608803037755932
737603,Raimel Tapia,Miles Mikolas,87.0853226028176,5.719900944722201
733657,Curt Casali,Shane Bieber,87.08244013692982,25.559473901024585
3325,Isaac Paredes,Shane McClanahan,87.06068798253264,16.285992847452757
738474,Jeff McNeil,Sandy Alcantara,87.06043410995329,11.271373787507535
